Unnamed: 0,Factory Name (En),Factory Name (Ar),Phone Number,Factory Email,Emirate, Products,Unnamed: 7,Unnamed: 8,Unnamed: 9,Activities,Unnamed: 11,Unnamed: 12
,,,,,,39172200,  - - Of polymers of propylene,,ـ ـ من بوليمرات البروبيلين,,,
,,,,,,39174000,- Fittings,,ـ  تركيبات (لوازم),,,
,MODERN PRINTING PRESS & STATIONERY,المطبعة العصرية ومكتبتها ,042823337,jinane@modern.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,49021020,  - - - Journals,,- - - مجلات ,1811001,طباعة الاستمارات والمواد التجارية المطبوعة الأخرى,Business Forms and Other Commercial Printing
,,,,,,49090020,- - - Greeting and similar cards,,- - - بطاقات تهاني وما يماثلها ,,,
,,,,,,48172000,"- Letter cards, plain postcards and correspondence cards",,- بطاقات رسائل وبطاقات بريد غير مصورة وبطاقات للمراسلة ,,,
,,,,,,48171000,- Envelopes,,- مغلفات (ظروف) ,,,
,,,,,,48192010,"    - - - For perfumes, Jewelry and gifts",, - - -   للعطور أو للمجوهرات أو الهدايا,,,
,,,,,,48201000," - Registers, account books, Note books, order books, receipt books, Letter pads, memorandum pads, diaries and similar articles",, - سجلات وسجلات المحاسبة ودفاتر الملاحظات ودفاتر الطلبات ودفاتر الإيصالات ودفاتر ورق الرسائل ومفكرات ومذكرات وأصناف مماثلة ,,,
,,,,,,48196000,"- Box files, letter trays, storage boxes and similar articles, of a kind used in offices, shops or the like",, - علب لحفظ  الملفات صواني الرسائل صناديق تخزين وما يماثلها من الأنواع المستعملة في المكاتب والمحلات التجارية وما يماثلها ,,,
,,,,,,49019990,- - - Other,,- - - غيرها ,,,
,,,,,,48114100,"Self-adhesive paper & paperboard, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in headings 48.03, 48.09 or 48.10.",,ورق وورق مقوى مصمغ أو لاصق ذاتياً,,,
,MODERN TECNOLOGY INDUSTRIES LLC,التقنيه الحديثه للصناعات ذ م م,050-4904929,INFO@MTIND.AE,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44184000, - Shuttering for concrete constructional work,,- هياكل خشبية مؤقته لدعم الخرسانة المصبوبه ,2395001,صناعة أصناف مسبقة الصب للبناء,Construction Precast Articles Manufacturing
,Modern Union Paper Products,مودرن يونيون للمنتجات الورقية,042644005,accounts@mupp.cc,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48171000,- Envelopes,,- مغلفات (ظروف) ,1709006,صناعة المظاريف وبطاقات الرسائل,Envelopes and Letter-Cards Manufacturing
,MODERN UNION PAPER PRODUCTS MANUFACTURING,مودرن يونيون لتصنيع المنتجات الورقية,052-8777570,info@mupp.cc,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48191090,- - - Other,,- - -  غيرها,1702003,صناعة العلب والعبوات الورقية,Paper Boxes and Packages Manufacturing
,,,,,,,,,,1709006,صناعة المظاريف وبطاقات الرسائل,Envelopes and Letter-Cards Manufacturing
,,,,,,,,,,1811001,طباعة الاستمارات والمواد التجارية المطبوعة الأخرى,Business Forms and Other Commercial Printing
,MODULEX METAL INDUSTRIES LLC ,مودولكس للصناعات المعدنية ذ م م,065579011,anees87@gmail.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,76109060,- - - Decoration tiles for ceilings,,- - - بلاط أسقف للديكور ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,MOHAMMAD TAUSEEF PERFUMES IND L.L.C,محمد توصيف لصناعة العطور ذ م م,055-2663805,tauseefmtpiuae@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,MOHAMMD ABDULRAHMAN AL BAHAR METAL CABINETS AND ENCLOSURES MANUFACTURING L.L.C,شركة محمد عبدالرحمن البحر لصناعة الغرف المعدنية ذ.م.م ,050-4551730,ghassan.younes@albahar.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73090090,- - - Other,,- - - غيرها ,2512001,صناعة الخزانات والصهاريج والأوعية المماثلة من المعدن المثبتة,"Metal Reservoirs, Tanks and Similar Containers Installed as Fixtures Manufacturing"
,,,,,,85381000,"- Boards, panels, consoles desks, cabinets and other bases for the goods of heading 85.37, not equipped with their appuratus ",,- لوحات وتابلوهات ، مناضد ، خزائن وغيرها من الحوامل للأصناف الداخلة في البند 85.37 ، غير مزودة بأجهزتها ,2511005,صناعة المباني الجاهزة المعدنية,Metal Prefabricated Buildings Manufacturing
,MOHAMMED AL NASERI CONCRETE PRODUCTION AND BLOCK FACTORY LLC,محمد الناصري للمنتجات الخرسانية والطابوق ش ذ م م ,042423646,accounts@manconblock.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,69029000,- Other,,- غيرها ,2391002,صناعة طابوق وبلاطات السيراميك المقاوم للحرارة وما يماثلها,"Refractory Ceramic Bricks, Blocks and Tiles and Smilar Manufacturing"
,MOHAMMED MAHABUB PERFUMES IND.LLC,محمد محبوب لصناعة العطور ذ م م,0554546444,tokyosat2004@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030020,  - - -Cologne,, - - - كولونيا ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,,,,,,33013010,   - - - Dehn Al- Oud (wood resinoids),,- - -  دهن العود,2023009,صناعة وتعبئة العود والبخور,Agarwood and Incense Manufacturing
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023012,صناعة مستحضرات التجميل والتزيين,Beauty and Make-Up Preparations Manufacturing
,,,,,,33072000,- Personal deodorants and antiperspirants,,- مزيلات الروائح الجسدية والعرق ومانعات التعرق ,,,
,,,,,,33049930,  - - - Skin softening preparations,, - - - محضرات تطرية الجلد ,,,
,,,,,,33041000,- Lip make-up preparations,, - محضرات تجميل الشفاه,,,
,,,,,,33042000,- Eye make-up preparations,,- محضرات تجميل العيون ,,,
,,,,,,34013000,"- Organic suface- active products and preparations for washing the skin, in the form of liguid or cream and put for retail sale, whether or not containing soap",, -  منتجات ومحضرات غواسل عضوية لغسل الجلد علي هيئة سائل أو كريم مهيأة للبيع بالتجزئة، وان احتوت على صابون,,,
,MOHD ABDULLA HAJI YOUSUF KHOORY & CO SHJ BRANCH / BRANCH2,محمد عبدالله حاجي يوسف خوري و شركاه - فرع الشارقة / فرع 2,0526905065,Hiasam@mahykhoory.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,85371000,"- For a voltage not exceeding 1,000 V ",,- لجهد (توتر) لا يزيد عن 1000 فولت (V),2710005,صناعة لوحات التحكم لتوزيع الطاقة الكهربائية,Electric Power Distribution Control Panels  Manufacturing
,MOHD HILAL PERFUMES FACTORY LLC,مصنع محمد هلال للعطور ذ م م,0521101111,mohammed.salim@hilal.cc,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030090,  - - - Other,, - - - غيرها ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,MOHD SCAFFOLDING IND LLC,محمد لصناعة السقالات ذ.م.م,0504040421,mascaffolds@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089040,"- - - Scaffoldings props, platforms and fittings",,- - - سقالات ومنصات لوازم شد السقالات ,1622008,صناعة العوارض والدعائم والسقالات الخشبية,Wooden Scaffolds and Supports Manufacturing
,MOIN INTERNATIONAL L.L.C,معين انترناشونال ذ.م.م,0506546692,moin@empressperfume.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,,,,,,33030090,  - - - Other,, - - - غيرها ,2023012,صناعة مستحضرات التجميل والتزيين,Beauty and Make-Up Preparations Manufacturing
,MONIA PRINTING EQUIP & PAPERS INDUSTRIAL L.L.C,منية لصناعة معدات المطابع و الورق ذ.م.م,050-7973469,info@moniagroup.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48231200,"Self-adhesive paper, in strips or rolls.",,ورق ذاتي اللصق، بشكل أشرطة أو لفات من عجائن الورق أو الورق أو حشو السليلوز أو طبقات من ألياف سليلوزية,1709013,صناعة الورق المصمَّغ أو اللاصق الجاهز للاستعمال,Gummed or Adhesive Ready Used Paper Manufacturing
,MONROL UAE LLC,مونرول الامارات ش ذ م م,042578103,basem.ahmed@monrol.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,30045000,- Other medicaments containing vitamins or other products of heading 29.36,,- غيرها، تحتوي على فيتامينات أو منتجات أخر مذكورة في البند 29.36 ,2100101,صناعة الأدوية,Medicine Manufacturing
,MOOLCHAND CONVERTING INDUSTRIES L.L.C,مولشاند للصناعات التحويلية (ذ.م.م.),067433304,mcil@eim.ae,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39204300,- - Containing by weight not less than 6% of plasticisers,, - -  محتوية علي ما لا يقل عن 6% وزناًمن الملدنات ,2420011,صناعة صفائح الألومينيوم - القصدير,Aluminium -Tin- Foil Laminates Manufacturing
,,,,,,48239010,"  - - - paper for packing fruits, sweets and the like, cut to size",,- - - ورق لتغليفة الفواكه أو الحلويات وما يماثلها مقطعة بقياسات معينة ,1709008,صناعة المناديل والمناشف ومناديل المائدة الورقية,"Paper Handkerchiefs, Towels, and Serviettes Manufacturing"
,,,,,,48236900,- - Other,,- - غيرها,2220115,صناعة الرقائق البلاسـتيكية,Plastic Chips Manufacturing
,,,,,,48102200,- - Light-weight coated paper,,- - ورق مطلي خفيف الوزن ,2599101,صناعة علب صفيح للمنتجات الغذائية و العبوات قابلة للطي,"Food Products Tins and Cans, and Collapsible Containers Manufacturing"
,,,,,,76071190,- - - Other,,- - - غيرها ,,,
,MOON STAR ELECTRICAL SWITCHGEARS MANUFACTURING LLC,مون ستار لصناعة مفاتيح التشغيل والتحكم الكهربائية ش ذ م م,0555247854,mstarele@eim.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,85371000,"- For a voltage not exceeding 1,000 V ",,- لجهد (توتر) لا يزيد عن 1000 فولت (V),2710005,صناعة لوحات التحكم لتوزيع الطاقة الكهربائية,Electric Power Distribution Control Panels  Manufacturing
,MOSAMEH AL ARABID IND.& ENG. CO. - L.L.C.,شركة مسامح العرابيد الصناعية والهندسية - ذ.م.م,065350373,alarabid@eim.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2592009,الطلاء بالمواد الغير معدنية للمعادن,Non-metallic Coating of Metals
,,,,,,73083000,"- Doors, windows and their frames and thresholds for doors",,- أبواب ونوافذ و أطرها وعتبات الأبواب ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,MOTIVE ALUMINIUM & GLASS IND LLC,الحركه لصناعة الالمنيوم والزجاج ذ م م,0503218376,shanil@kmm-grp.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2511010,صناعة أُطر صناعية من معادن,Metal Industrial Frameworks Manufacturing
,,,,,,85461000,- Of glass,,- من زجاج ,2511017,صناعةالأبواب والنوافذ وأطرها والمصاريع المعدنية,"Metal Doors, Windows and Their Frames, Shutters and Manufact"
,,,,,,76069220,"Other aluminium alloys plates and sheets of a thickness exceeding 0.2, excluding rectangular (including square) ",,غيرها صفائح والواح من خلائط ألومنيوم ذات سماكة أكبر من 0.2 مم عدا مستطيلة ( بما فيها المربعة ),2511005,صناعة المباني الجاهزة المعدنية,Metal Prefabricated Buildings Manufacturing
,,,,,,,,,,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,MR FURNITURE MANUFACTURING L.L.C,مصنع مستر للثاث ذ.م.م,052-6155131,shridhar@mrskips.net,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94031010,  - - - Desks,,- - - طاولات (مكاتب) ,3100007,صناعة الأثاث المكتبي,Office Furniture Manufacturing
,,,,,,85381000,"- Boards, panels, consoles desks, cabinets and other bases for the goods of heading 85.37, not equipped with their appuratus ",,- لوحات وتابلوهات ، مناضد ، خزائن وغيرها من الحوامل للأصناف الداخلة في البند 85.37 ، غير مزودة بأجهزتها ,,,
,,,,,,76151990,"Table, kitchen or other household articles & parts thereof, of aluminium, excluding pot scourers & scouring or polishing pads, gloves & the like.",, أدوات مائدة أو أدوات مطبخ ؛ جلايات القدور ووسيدات وقفازات وما يماثلها من ألومنيوم للجلي أو التلميع عدا أطباق وصواني من رقائق الألومنيوم,,,
,MRM RUBBER MUNUFACTURING LLC,ام ار ام لصناعة المطاط ذ.م.م ,050-3029654,info@mrmuae.co,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,40082900,- - Other,,- - غيرها ,2219001,صناعة الألواح والأشرطة والمقاطع الخاصة المطاطية,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing"
,MT VALVES AND INDUSTRIES INTERNATIONAL INDUSTRIAL TAPS AND  VALVES MANUFACTURING - L.L.C,ام تي العالمية للصمامات والصناعات صناعة صنابير وصمامات صناعية - ذ.م.م,054-2473113,suhail@mtfluid.com,Abu Dhabi,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,84818090,- - - Other ,,- - - غيرها  ,2813003,صناعة صنابير وصمّامات صناعية,Industrial Taps and Valves Manufacturing
,,,,,,84813000,- Check valves,,- صمامات بلسان أو صمامات الحجز (ضد الرجوع) ,,,
,MUHAMMAD ASGHAR FACTORY L.L.C,مصنع محمد اصغر (ذ.م.م.),0506288165,kashif@asgharfurniture.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94032010,- - - Wardrobes,,- - - خزائن للملابس ,3100001,صناعة الأثاث المنزلي,House Furniture Manufacturing
,,,,,,94034020,"- - - Dining sets, Complete",,- - - أطقم سفر طعام ، كاملة ,1622007,منجرة - ورش النجارة,Carpenter shop
,MULTAN PLASTIC BAGS WORKS LLC,مشغل مولتان لاكياس البلاستيك ( ذ .م .م),0528306000,multi-pack@hotmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39199000, - Other,,ـ غيرها,2220131,صناعة الأشرطة البلاستيكية اللاصقة ذاتيا,Self-Adhesive Plastic Tapes Manufacturing
,,,,,,39191000,- In rolls of a width not exceeding 20 cm ,,ـ لفات لا يتجاوز عرضها 20 سم ,2220108,صناعة الأكياس البلاسـتيكية,Plastic Bags Manufacturing
,,,,,,39232100,"Sacks & bags (including cones), of polymers of ethylene for the conveyance or packing of goods.",,أكياس وحقائب (بما في ذلك المخاريط) من بوليمرات الإيثلين,,,
,MULTI FORMS (L.L.C),مالتي فورمز (ش.ذ.م.م),048121100,mahmoud.sayyah@multiforms.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2592009,الطلاء بالمواد الغير معدنية للمعادن,Non-metallic Coating of Metals
,,,,,,73083000,"- Doors, windows and their frames and thresholds for doors",,- أبواب ونوافذ و أطرها وعتبات الأبواب ,2220151,صناعة الأبواب والنوافذ والأُطر والمصاريع البلاستيكية ومايماثلها,"Plastic Doors, Windows, Frames, Shutters, and Similar Manufacturing"
,,,,,,76101010,  - - - Power operated doors for garages,,- - -  أبواب كراجات تعمل بالكهرباء ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,,,,,,76109090,- - - Other,,- - - غيرها ,,,
,MULTI FORMS CO LLC,شركة ملتي فورمز ذ.م.م.,065325760,newmultiforms@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48201000," - Registers, account books, Note books, order books, receipt books, Letter pads, memorandum pads, diaries and similar articles",, - سجلات وسجلات المحاسبة ودفاتر الملاحظات ودفاتر الطلبات ودفاتر الإيصالات ودفاتر ورق الرسائل ومفكرات ومذكرات وأصناف مماثلة ,1709014,صناعة مجموعات الكتابة الورقية المكتبية,Paper Stationery Assortment Writing Compendiums Manufacturing
,Multi Tech Eng Ind LLC,التقنيات المتعددة للصناعات الهندسية ذ م م,065360003,giri@multitech.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,76101090,- - - Other,,- - - غيرها ,2511017,صناعةالأبواب والنوافذ وأطرها والمصاريع المعدنية,"Metal Doors, Windows and Their Frames, Shutters and Manufact"
,,,,,,76069200,- - Of aluminium alloys,,- - من خلائط ألومنيوم ,,,
,,,,,,76061200, - - Of aluminium alloys,,- - من خلائط ألومنيوم ,,,
,,,,,,72172000,- Plated or coated with zinc,,- مطلية أو مغطاه بالزنك ,,,
,,,,,,73012000,"- Angles, shapes and sections",,ـ زوايا وأشكال خاصة ومقاطع,,,
,,,,,,73072300,- - Butt welding fittings ,,- - لوازم وصل الأطراف باللحام ,,,
,,,,,,70195900,- - Other,,- - غيرها ,,,
,MULTI TECH ENG. IND. LLC - BRANCH 2,التقنيات المتعددة للصناعات الهندسية. ذ م م - فرع 2,0506778465,multi@multitech.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48209000,- Other,,- غيرها ,1702003,صناعة العلب والعبوات الورقية,Paper Boxes and Packages Manufacturing
,,,,,,,,,,1702001,صناعة الورق والورق المقوى المموج,Corrugated Paper and Paperboard Manufacturing
,MULTI TECH INDUSTRIES,ملتي تك لصناعة الاصباغ,050-1951398,multitechuae@yahoo.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,32041600,  - - Reactive dyes and preparations based thereon,, - - أصبغ متفاعلة ومحضرات أساسها هذه الأصباغ ,2022001,صناعة الدهانات والملمعات,Paints and Varnishes Manufacturing
,,,,,,32072000,"- Vitrifiable enamels and glazes, engobes (slips) and similar preparations",,- مركبات قابلة للتزجج ودهانات لطلاء الفخار ومحضرات مماثلة ,,,
,,,,,,32073000,- Liquid lustres and similar preparations,,- دهانات لامعه سائلة ومحضرات مماثلة ,,,
,,,,,,32041100,  - - Disperse dyes and preparations based thereon,, - - أصباغ مبددة ومحضرات أساسها هذه الأصباغ ,,,
,,,,,,32041300,  - - Basic dyes and preparations based thereon,, - - أصباغ قاعدية ومحضرات أساسها هذه الأصباغ ,,,
,,,,,,32041400,  - - Direct dyes and preparations based thereon,, - - أصباغ مباشرة ومحضرات أساسها هذه الأصباغ ,,,
,,,,,,32129010,  - - - Dyes and other colouring matters put up in forms or packings for retail sale,, - - - أصباغ ومواد ملونة مهيأة باشكال أو في أغلفة للبيع بالتجزئة ,,,
,MULTIPLAST DUBAI L.L.C,مالتيبلاست دبي (ش. ذ. م. م ),043338666,info@multiplastdubai.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39172100,  - - Of polymers of ethylene,,ـ ـ من بوليمرات الإيثلين,2220103,صناعة الانابيب والمواسير والخراطيم البلاستيكية ولوازمها,"Plastic Tubes , Pipes, Hoses and its Fittings Manufacturing"
,,,,,,39172200,  - - Of polymers of propylene,,ـ ـ من بوليمرات البروبيلين,,,
,,,,,,85472000,- Insulating fittings of plastics ,,- قطع عازلة من لدائن ,,,
,,,,,,85389000,- Other,,- غيرها ,,,
,MUNAWEL WOODEN INDUSTRIES L.L.C,مناول للصناعات الخشبية ش ذ م م,055-8078851,anilsv@munawelgroup.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73083000,"- Doors, windows and their frames and thresholds for doors",,- أبواب ونوافذ و أطرها وعتبات الأبواب ,1622002,صناعة الابواب الخشبية مقاومة للحريق,Fireproof Wooden Doors Manufacturing
,,,,,,44182000,- Doors and their frames and thresholds,,- أبواب وأطرها وعتباتها ,1629911,صناعة منتجات الديكور الخشبية,Wooden Decorative Products Manufacturing
,,,,,,94036090,- - - Other,,- - - غيرها ,1622001,صناعة  الابواب والنوافذ ومصاريعها واطرها الخشبية,"Wooden Doors, Windows, Shutters and Their Frames Manufacturing"
,MUNICH PRINTING PRESS.LLC,مطبعة ميونيخ ذ.م.م,0551845223,munichpp@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,49111010,   - - -Trade advertising material,,- - - مطبوعات للدعاية والإعلان ,1811001,طباعة الاستمارات والمواد التجارية المطبوعة الأخرى,Business Forms and Other Commercial Printing
,MUNICH WOOD IND LLC,ميونيخ للصناعات الخشبية ذ م م ,0554212257,sales@munichwoodworks.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44071110,- - - Planed,,- - - ممسوح ,1623005,صناعة المنصـات بكافة انواعها وألواح التحميل الاخرى الخشـبية,Wooden Pallets of All Kinds and Other Load Boards Manufacturing
,,,,,,44071290,- - - Other,,- - - غيره ,,,
,,,,,,44152000,"- Pallets, box pallets and other load boards; pallet collars ",, - طبليات وطبليات صناديق وألواح تحميل اخر وأطواق طبليات,,,
,MUSAFFAH WOODY DOORS INDUSTRY L.L.C.,مصفح لصناعة الابواب الخشبية ذ.م.م.,067442770,musaffahdoors@gmail.com,Ajman,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94032090,- - - Other,,- - - غيرها ,1622002,صناعة الابواب الخشبية مقاومة للحريق,Fireproof Wooden Doors Manufacturing
,,,,,,,,,,1622001,صناعة  الابواب والنوافذ ومصاريعها واطرها الخشبية,"Wooden Doors, Windows, Shutters and Their Frames Manufacturing"
,MUSHARIF PRINTING PRESS L.L.C.,مطبعة مشيرف - ذ.م.م.,065439701,mushiraf@emirates.net.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,49111010,   - - -Trade advertising material,,- - - مطبوعات للدعاية والإعلان ,1811001,طباعة الاستمارات والمواد التجارية المطبوعة الأخرى,Business Forms and Other Commercial Printing
,,,,,,49090020,- - - Greeting and similar cards,,- - - بطاقات تهاني وما يماثلها ,,,
,,,,,,49011090,- - - Other,,- - - غيرها ,,,
,,,,,,49019990,- - - Other,,- - - غيرها ,,,
,,,,,,49019910,"Books, booklets & pamphlets, consisting essentially of texual matter of any kind, printed.",, كتب وكتيبات ونشرات علمية أو فنية أو أدبية أو دينية أو حكومية معدة للمطالعة من جميع الأنواع، مطبوعة من أوراق منفصلة وإن كانت مطوية ,,,
,MY PERFUME FACTORYT LLC,مصنع ماي للعطور ش ذ م م,042512155,mustafak@myperfumes.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,,,,,,33030090,  - - - Other,, - - - غيرها ,2023002,صناعة مساحيق الغسيل والمنظفات,Washing Powders and Detergents Manufacturing
,N A Z INDUSTRIES L.L.C,ان ايه زد للصناعات ش.ذ.م.م,0509030510,aji.kumar@nazindustries.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,87169010,"  - - - Parts for the carriages of subheadings  87 16 80 11, 87 16 80 12, 87 16 80 13 ",, - - - أجزاء للعربات الواردة في البنود الفرعية   11 80 16 87 ، 12 80 16 87 ، 13 80 16 87 ,2920101,صناعة المركبات المقطورة ونصف المقطورة,Trailers and Semi-Trailers Manufacturing
,,,,,,87163910," - - - Trailers and semi-trailers for public works, whether or not fitted with tipboxes",, - - -  مقطورات و مقطورات نصفية للاشغال العامة وإن كانت ذات صناديق قلابة ,,,
,N G BEAUTY WORLD PERFUMES AND COSMETICS MANUFACTURING L.L.C,ان جي بيوتي ورلد لصناعة العطور و مواد التجميل ذ.م.م,058-8000112,shadi@ngbeautyworld.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,33030010,"  - - - Perfumrs, Liquid or solid",, - - - عطور (بارفيوم) السائلة أو الجامدة ,2023008,صناعة العطور وماء التواليت,Perfumes and Toilet Water Manufacturing
,,,,,,33059090,  - - - Other,, - - - غيرها  ,2023012,صناعة مستحضرات التجميل والتزيين,Beauty and Make-Up Preparations Manufacturing
,,,,,,33049990,  - - - Other,, - - - غيرها ,,,
,,,,,,33059020,  - - - Hair cream,, - - - كريم الشعر ,,,
,,,,,,33049930,  - - - Skin softening preparations,, - - - محضرات تطرية الجلد ,,,
,,,,,,33030090,  - - - Other,, - - - غيرها ,,,
,N O S HOSPITALS AND SCHOOLS FURNITURE MANUFACTURING L.L.C,ان او اس لصناعة اثاث المدارس والمستشفيات ش.ذ.م.م,0529873801,fahed@nos-lab.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94031090,- - - Other,,- - - غيرها ,3100005,صناعة أثاث المختبرات,Laboratory Furniture Manufacturing
,,,,,,94029090,- - - Other,,- - - غيرها ,3100004,صناعة أثاث المدارس والمطاعم الكنائس,"Schools, Restaurants, and Churches Furniture Manufacturing"
,,,,,,94032090,- - - Other,,- - - غيرها ,,,
,,,,,,94033020,  - - - Wheeled-Tables ,,- - - طاولات ذات عجلات ,,,
,,,,,,94033010,  - - - Desks,,- - - طاولات (مكاتب) ,,,
,,,,,,94036010,"  - - - Tables for laboratories or microscopic testing , fitted with gas or water nozzles, . . etc.)",,- - - طاولات الفحص المجهري وطاولات المحتبرات المجهزة بصنابير غاز أو مياه . . الخ ,,,
